QR;ToolNummer;ToolName;D;Ausspann_Laenge;IST_Laenge;SOLL_Laenge;Message1;Message2;Message3;Message4;Message5;Maschine
;124;D8_SCHRUPP_TPC_GRUEN;8;35;100;;203089 8;304450 8;;;HSK 63;DMU
;125;D10_SCHRUPP_TPC_GRUEN;10;40;110;;203089 10;304450 10;;;HSK 63;C32
;126;D12_SCHRUPP_TPC_GRUEN;12;50;130;;203089 12;304450 12;;;HSK 63;C42
;127;D16_SCHRUPP_TPC_GRUEN;16;60;140;;203089 16;304450 16;;;HSK 63;C400
;129;D6_TPC_INGERSOLL_UNI;6;29;94;;3064256;304450 6;;;HSK 63;DMU
;130;D8_TPC_INGERSOLL_UNI;8;37;102;;3064257;304450 8;;;HSK 63;C32
;131;D10_TPC_INGERSOLL_UNI;10;45;115;;3064258;304450 10;;;HSK 63;C42
;132;D12_TPC_INGERSOLL_UNI;12;50;130;;3092099;304450 12;;;HSK 63;C400
;136;D6_SCHRUPP_TPC_BLAU;6;30;95;;203019 6;304450 6;;;HSK 63;DMU
;137;D8_SCHRUPP_TPC_BLAU;8;33;98;;203019 8;304450 8;;;HSK 63;C32
;138;D10_SCHRUPP_TPC_BLAU;10;39;109;;203019 10;304450 10;;;HSK 63;C42
;139;D12_SCHRUPP_TPC_BLAU;12;50;130;;203019 12;304450 12;;;HSK 63;C400
